,source,target,2007
0,Aruba,United Kingdom,52.39
1,Aruba,Panama,29.11
2,Aruba,Netherlands Antilles,12.9
3,Aruba,Netherlands,130.68
4,Aruba,Colombia,33.32
5,Aruba,United States,605.48
6,Aruba,Venezuela,10.58
7,United Kingdom,Germany,50684.44
8,United Kingdom,France,37085.68
9,United Kingdom,China,53227.61
10,United Kingdom,Netherlands,30618.44
11,United Kingdom,Ireland,35877.22
12,United Kingdom,United States,60645.66
13,Panama,Japan,570.11
14,Panama,Costa Rica,504.07
15,Panama,China,2626.35
16,Panama,Colombia,1361.86
17,Panama,"Other Asia, nes",861.87
18,Panama,"Hong Kong, China",1333.49
19,Panama,United States,2984.98
20,Panama,Venezuela,1797.04
21,Panama,Dominican Republic,452.02
22,Netherlands Antilles,Netherlands,37.78
23,Netherlands Antilles,Venezuela,60.64
24,Netherlands Antilles,Panama,40.65
25,Netherlands Antilles,United States,419.43
26,Netherlands Antilles,Aruba,20.31
27,Netherlands Antilles,Belgium,3.61
28,Netherlands,Germany,112490.19
29,Netherlands,United Kingdom,43508.16
30,Netherlands,China,36183.26
31,Netherlands,France,39195.28
32,Netherlands,United States,33091.65
33,Netherlands,Belgium,56823.2
34,Colombia,Switzerland,884.91
35,Colombia,Mexico,3072.57
36,Colombia,Brazil,2393.94
37,Colombia,China,3326.57
38,Colombia,Venezuela,5210.33
39,Colombia,Netherlands,836.18
40,Colombia,United States,8631.11
41,Colombia,Ecuador,1276.04
42,United States,Germany,96631.6
43,United States,Japan,62663.67
44,United States,Canada,248408.65
45,United States,China,340106.65
46,United States,Mexico,136520.32
47,United States,United Kingdom,50294.39
48,Venezuela,Brazil,3003.43
49,Venezuela,China,2076.29
50,Venezuela,Colombia,3729.49
51,Venezuela,United States,8462.16
52,Angola,China,864.71
53,Angola,India,2376.84
54,Angola,"Korea, Dem. Rep.",1051.12
55,Angola,France,2592.97
56,Angola,Portugal,1641.64
57,Angola,United States,995.11
58,Angola,Canada,2913.19
59,China,Japan,102062.5
60,China,"Hong Kong, China",184438.21
61,China,Germany,48744.14
62,China,"Korea, Rep.",56432.02
63,China,China,85773.2
64,China,"Other Asia, nes",101027.67
65,China,United States,69547.96
66,India,United Arab Emirates,14447.01
67,India,China,24575.77
68,India,Switzerland,10638.11
69,India,United Kingdom,6286.91
70,India,Saudi Arabia,16570.15
71,India,United States,14206.37
72,India,Singapore,6390.07
73,France,Germany,77914.75
74,France,China,38728.29
75,France,United Kingdom,45226.33
76,France,Italy,52171.51
77,France,Spain,42665.92
78,France,Belgium,40593.52
79,Portugal,Germany,6697.59
80,Portugal,France,6566.31
81,Portugal,Netherlands,3884.43
82,Portugal,United Kingdom,3138.24
83,Portugal,Spain,25540.7
84,Portugal,Italy,4520.85
85,Portugal,United States,2411.81
86,Canada,Germany,10752.36
87,Canada,Japan,8603.09
88,Canada,China,35824.74
89,Canada,Mexico,4625.05
90,Canada,United Kingdom,11929.63
91,Canada,United States,206439.12
92,Anguila,Guyana,3.17
93,Anguila,Japan,6.56
94,Anguila,Netherlands Antilles,1.26
95,Anguila,France,4.48
96,Anguila,Trinidad and Tobago,26.26
97,Anguila,United Kingdom,0.87
98,Anguila,United States,153.5
99,Anguila,Turkey,0.42
100,Guyana,United Kingdom,124.94
101,Guyana,Netherlands Antilles,40.55
102,Guyana,Trinidad and Tobago,258.27
103,Guyana,China,87.37
104,Guyana,Barbados,46.02
105,Guyana,Netherlands,44.1
106,Guyana,United States,258.57
107,Guyana,Canada,169.83
108,Japan,United Arab Emirates,32361.78
109,Japan,"Other Asia, nes",44889.15
110,Japan,"Hong Kong, China",38909.39
111,Japan,China,127922.37
112,Japan,"Korea, Rep.",54333.49
113,Japan,Saudi Arabia,35286.96
114,Japan,Australia,31252.15
115,Japan,United States,72409.98
116,Trinidad and Tobago,Gabon,520.97
117,Trinidad and Tobago,Germany,306.85
118,Trinidad and Tobago,Brazil,814.82
119,Trinidad and Tobago,Jamaica,610.21
120,Trinidad and Tobago,"Congo, Rep.",439.75
121,Trinidad and Tobago,Spain,531.91
122,Trinidad and Tobago,Colombia,677.85
123,Trinidad and Tobago,United States,1924.53
124,Trinidad and Tobago,Dominican Republic,353.59
125,Turkey,Germany,11993.23
126,Turkey,China,13234.09
127,Turkey,United Kingdom,8626.78
128,Turkey,Russian Federation,4726.85
129,Turkey,France,5974.46
130,Turkey,Italy,9751.28
131,Turkey,United States,8166.79
132,Albania,Germany,26.32
133,Albania,China,278.68
134,Albania,Greece,612.47
135,Albania,"Serbia, FR(Serbia/Montenegro)",72.55
136,Albania,Italy,1138.59
137,Albania,Turkey,304.75
138,Germany,France,128666.0
139,Germany,China,75047.64
140,Germany,Netherlands,85550.22
141,Germany,United Kingdom,97258.87
142,Germany,Italy,60790.88
143,Germany,United States,62436.45
144,Greece,Germany,2714.19
145,Greece,France,4222.24
146,Greece,Bulgaria,1521.3
147,Greece,China,3830.29
148,Greece,United Kingdom,1277.83
149,Greece,Russian Federation,4290.52
150,Greece,Italy,8863.46
151,Greece,Cyprus,1524.04
152,"Serbia, FR(Serbia/Montenegro)",Germany,937.49
153,"Serbia, FR(Serbia/Montenegro)",Montenegro,950.83
154,"Serbia, FR(Serbia/Montenegro)",Bosnia and Herzegovina,1042.14
155,"Serbia, FR(Serbia/Montenegro)",China,1365.16
156,"Serbia, FR(Serbia/Montenegro)",Russian Federation,450.59
157,"Serbia, FR(Serbia/Montenegro)",Italy,1797.06
158,"Serbia, FR(Serbia/Montenegro)",Hungary,720.59
159,Italy,Germany,64758.99
160,Italy,France,57547.83
161,Italy,China,29724.31
162,Italy,Netherlands,28225.8
163,Italy,United Kingdom,29111.0
164,Italy,Spain,22203.24
165,Italy,United States,33247.91
166,Andorra,Germany,20.03
167,Andorra,Norway,2.6
168,Andorra,Japan,51.86
169,Andorra,France,21.84
170,Andorra,Italy,63.15
171,Andorra,Spain,1129.02
172,Norway,Germany,16701.04
173,Norway,United Kingdom,35585.4
174,Norway,Sweden,11706.69
175,Norway,Denmark,5115.63
176,Norway,China,4826.92
177,Norway,France,10887.62
178,Norway,Netherlands,13945.41
179,Spain,Germany,27284.74
180,Spain,United Kingdom,19584.49
181,Spain,France,47713.51
182,Spain,China,25387.19
183,Spain,Italy,34114.85
184,Spain,Portugal,21949.59
185,Belgium,Germany,83981.56
186,Belgium,United Kingdom,32639.37
187,Belgium,France,72302.2
188,Belgium,Netherlands,51317.15
189,Belgium,United States,22863.29
190,United Arab Emirates,Japan,39815.06
191,United Arab Emirates,"Other Asia, nes",17767.7
192,United Arab Emirates,India,12247.04
193,United Arab Emirates,China,12307.98
194,United Arab Emirates,"Iran, Islamic Rep.",6630.7
195,United Arab Emirates,United States,8416.8
196,"Other Asia, nes",Japan,15908.48
197,"Other Asia, nes","Hong Kong, China",37932.72
198,"Other Asia, nes",China,28057.95
199,"Other Asia, nes","Korea, Rep.",15183.73
200,"Other Asia, nes",Saudi Arabia,10426.93
201,"Other Asia, nes",United States,26731.53
202,"Other Asia, nes",Singapore,10480.16
203,Argentina,Germany,2131.32
204,Argentina,Chile,4176.2
205,Argentina,China,5092.95
206,Argentina,Brazil,10486.06
207,Argentina,Spain,2060.9
208,Argentina,United States,5342.3
209,Chile,China,5969.72
210,Chile,"Korea, Rep.",4034.18
211,Chile,Brazil,4529.0
212,Chile,Japan,7516.26
213,Chile,Netherlands,4052.88
214,Chile,Argentina,4380.43
215,Chile,United States,7811.73
216,Brazil,Germany,7208.84
217,Brazil,China,13660.9
218,Brazil,Argentina,10905.82
219,Brazil,Netherlands,8135.15
220,Brazil,United States,19702.44
221,Brazil,Nigeria,5331.61
222,Armenia,Germany,168.54
223,Armenia,France,148.49
224,Armenia,Kazakhstan,240.6
225,Armenia,China,192.36
226,Armenia,Russian Federation,198.77
227,Armenia,Georgia,69.09
228,Armenia,Netherlands,155.96
229,Armenia,Belgium,100.09
230,Armenia,Ukraine,251.46
231,Kazakhstan,Germany,2585.75
232,Kazakhstan,China,3507.28
233,Kazakhstan,Switzerland,7475.88
234,Kazakhstan,Russian Federation,4658.92
235,Kazakhstan,France,3982.71
236,Kazakhstan,Italy,7774.22
237,Kazakhstan,United States,1623.89
238,Kazakhstan,Ukraine,1517.46
239,Russian Federation,Germany,18604.91
240,Russian Federation,Japan,12715.8
241,Russian Federation,Belarus,17187.0
242,Russian Federation,China,24406.61
243,Russian Federation,Italy,22631.15
244,Russian Federation,Netherlands,41840.68
245,Russian Federation,United States,9407.73
246,Russian Federation,Ukraine,13310.45
247,Georgia,Germany,386.14
248,Georgia,Armenia,110.78
249,Georgia,Azerbaijan,381.94
250,Georgia,Russian Federation,575.28
251,Georgia,Turkey,171.69
252,Georgia,United States,149.04
253,Georgia,Ukraine,469.73
254,Ukraine,Germany,1644.49
255,Ukraine,Poland,1636.92
256,Ukraine,Turkmenistan,4707.36
257,Ukraine,China,3307.53
258,Ukraine,Russian Federation,12668.48
259,Ukraine,Italy,2675.15
260,Ukraine,Turkey,3645.29
261,Antigua and Barbuda,United Kingdom,4.13
262,Antigua and Barbuda,Japan,24.59
263,Antigua and Barbuda,Netherlands Antilles,30.5
264,Antigua and Barbuda,Dominica,6.01
265,Antigua and Barbuda,Trinidad and Tobago,22.34
266,Antigua and Barbuda,Barbados,8.12
267,Antigua and Barbuda,United States,333.27
268,Dominica,United Kingdom,5.19
269,Dominica,Japan,8.12
270,Dominica,Trinidad and Tobago,3.0
271,Dominica,Jamaica,7.37
272,Dominica,China,4.76
273,Dominica,France,3.57
274,Dominica,United States,69.86
275,Dominica,Antigua and Barbuda,5.7
276,Barbados,United Kingdom,28.58
277,Barbados,Japan,58.8
278,Barbados,Canada,57.41
279,Barbados,Trinidad and Tobago,87.26
280,Barbados,Jamaica,16.66
281,Barbados,St. Lucia,20.7
282,Barbados,United States,567.08
283,Australia,Germany,8514.04
284,Australia,Japan,26801.2
285,Australia,China,25898.02
286,Australia,New Zealand,7955.25
287,Australia,"Korea, Rep.",11306.98
288,Australia,Singapore,9182.73
289,Australia,United States,21252.49
290,New Zealand,Japan,2478.41
291,New Zealand,China,4122.26
292,New Zealand,Singapore,1585.1
293,New Zealand,Australia,6361.78
294,New Zealand,United Kingdom,1208.54
295,New Zealand,United States,3021.54
296,"Korea, Rep.",Germany,13534.21
297,"Korea, Rep.",Japan,26370.19
298,"Korea, Rep.","Other Asia, nes",13027.11
299,"Korea, Rep.","Hong Kong, China",18654.45
300,"Korea, Rep.",China,63025.15
301,"Korea, Rep.",Saudi Arabia,21163.16
302,"Korea, Rep.",United States,37392.95
303,Singapore,Japan,21801.73
304,Singapore,"Hong Kong, China",31461.65
305,Singapore,China,31968.24
306,Singapore,Indonesia,29614.03
307,Singapore,Malaysia,38894.24
308,Singapore,"Other Asia, nes",15550.67
309,Singapore,United States,32704.66
310,Austria,Germany,47190.43
311,Austria,Switzerland,6856.43
312,Austria,China,6262.15
313,Austria,France,5629.02
314,Austria,Italy,10728.01
315,Austria,United States,5134.38
316,Switzerland,Germany,35353.28
317,Switzerland,United Kingdom,8801.63
318,Switzerland,India,12343.53
319,Switzerland,France,15514.27
320,Switzerland,Italy,17536.79
321,Switzerland,United States,16079.25
322,Azerbaijan,Germany,471.2
323,Azerbaijan,United Kingdom,411.33
324,Azerbaijan,Indonesia,390.29
325,Azerbaijan,Russian Federation,527.12
326,Azerbaijan,Italy,940.93
327,Azerbaijan,Turkey,1056.32
